Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%),LE_calculated,LE,HLE_Gap
2011 to 2013,England,Local Areas,E06000010,"Kingston upon Hull, City of",Female,2,<1,1,57.0,54.6,59.3,71,80.28169014084507,80.28169014084507,23.281690140845072
2011 to 2013,England,Local Areas,E06000011,East Riding of Yorkshire,Male,1,<1,1,64.8,62.9,66.6,81,79.99999999999999,79.99999999999999,15.199999999999989
2011 to 2013,England,Local Areas,E06000011,East Riding of Yorkshire,Female,2,<1,1,65.5,63.3,67.6,79,82.91139240506328,82.91139240506328,17.411392405063282
2011 to 2013,England,Local Areas,E06000012,North East Lincolnshire,Male,1,<1,1,61.7,59.6,63.8,79,78.10126582278481,78.10126582278481,16.401265822784808
2011 to 2013,England,Local Areas,E06000012,North East Lincolnshire,Female,2,<1,1,62.7,60.6,64.8,77,81.42857142857143,81.42857142857143,18.728571428571428
2011 to 2013,England,Local Areas,E06000013,North Lincolnshire,Male,1,<1,1,62.1,60.1,64.2,80,77.625,77.625,15.524999999999999
2011 to 2013,England,Local Areas,E06000013,North Lincolnshire,Female,2,<1,1,63.4,61.0,65.8,77,82.33766233766234,82.33766233766234,18.93766233766234
2011 to 2013,England,Local Areas,E06000014,York,Male,1,<1,1,63.9,61.9,65.9,81,78.88888888888889,78.88888888888889,14.988888888888887
2011 to 2013,England,Local Areas,E06000014,York,Female,2,<1,1,65.1,62.9,67.4,78,83.46153846153845,83.46153846153845,18.36153846153846
2011 to 2013,England,Local Areas,E06000015,Derby,Male,1,<1,1,59.4,57.2,61.7,76,78.1578947368421,78.1578947368421,18.757894736842097
2011 to 2013,England,Local Areas,E06000015,Derby,Female,2,<1,1,59.9,57.5,62.3,73,82.05479452054794,82.05479452054794,22.154794520547945
2011 to 2013,England,Local Areas,E06000016,Leicester,Male,1,<1,1,57.5,55.2,59.7,74,77.70270270270271,77.70270270270271,20.20270270270271
2011 to 2013,England,Local Areas,E06000016,Leicester,Female,2,<1,1,58.0,55.4,60.7,71,81.69014084507043,81.69014084507043,23.69014084507043
2011 to 2013,England,Local Areas,E06000017,Rutland,Male,1,<1,1,67.7,63.5,71.8,83,81.56626506024097,81.56626506024097,13.866265060240963
2011 to 2013,England,Local Areas,E06000017,Rutland,Female,2,<1,1,69.1,64.6,73.6,81,85.30864197530863,85.30864197530863,16.208641975308637
2011 to 2013,England,Local Areas,E06000018,Nottingham,Male,1,<1,1,59.2,57.1,61.2,77,76.88311688311688,76.88311688311688,17.68311688311688
2011 to 2013,England,Local Areas,E06000018,Nottingham,Female,2,<1,1,60.0,57.8,62.2,74,81.08108108108108,81.08108108108108,21.08108108108108
2011 to 2013,England,Local Areas,E06000019,"Herefordshire, County of",Male,1,<1,1,66.4,64.5,68.2,83,80.00000000000001,80.00000000000001,13.600000000000009
